lat,lon,tract
41.5160001943,-112.008917911,49003960601
41.5292573118,-111.984396341,49003960602
41.4966365237,-112.006914973,49003960702
41.5624647499,-112.282524707,49003960400
41.7027477659,-112.151614706,49003960300
41.7175081481,-112.080067203,49003960200
41.5180379522,-113.174138203,49003960100
41.4699858976,-112.037066374,49003960802
41.4956673388,-112.027008557,49003960701
41.4234685766,-112.000524501,49003960801
41.4461497987,-112.161065928,49003960500
40.6458847077,-112.013511853,49035113803
40.6575810347,-111.845170125,49035111102
40.6191504455,-111.864775297,49035112502
40.6754035746,-111.933202915,49035113511
40.6621053349,-112.008315762,49035113802
40.660044232,-111.994005624,49035113600
40.7671121746,-111.715636419,49035110103
40.6811964762,-111.811585634,49035110600
40.5776347443,-111.895892171,49035112605
40.6469665984,-111.821466643,49035111001
40.6749688847,-111.959966305,49035113520
40.6458400035,-111.96260163,49035113532
40.62872495,-111.814373125,49035111002
40.7152281543,-111.965141033,49035113307
40.7294608589,-111.862481618,49035103300
40.5114393467,-111.948220867,49035113017
40.5968104142,-111.993139619,49035113101
40.5631802783,-111.873579841,49035112812
40.7613178297,-111.918207694,49035102600
40.5852835396,-111.983850179,49035113102
40.6257185233,-111.881312868,49035112501
40.7650011165,-111.882502592,49035102100
40.6401800022,-111.844845698,49035111103
40.7327178028,-111.921634389,49035102802
40.7179779865,-111.821525504,49035104400
40.7049177723,-111.835918862,49035110300
40.6034699388,-111.881928896,49035112610
40.631296905,-111.957829287,49035112905
40.6397807517,-111.912276508,49035112201
40.641669799,-111.941218284,49035113533
40.737947721,-111.812793543,49035104200
40.6747547643,-111.945687657,49035113510
40.6921986794,-111.903358527,49035111600
40.6686822994,-111.921254298,49035113514
40.6568004345,-111.945446357,49035113513
40.6808502318,-111.833873934,49035110702
40.5308823175,-111.948477576,49035113014
40.6516307459,-112.135908171,49035113907
40.4599214195,-112.004623699,49035115106
40.5616160213,-112.034121178,49035115209
40.8174748642,-111.943845581,49035114700
40.4952750241,-111.901385411,49035112818
40.6083223698,-112.019747509,49035114300
